Time,E1,S1,W1,N1
2023-07-18 00:00:00,91.0,59.0,116.0,101.0
2023-07-18 00:05:00,115.0,82.0,120.0,110.0
2023-07-18 00:10:00,116.0,66.0,123.0,111.0
2023-07-18 00:15:00,102.0,53.0,108.0,89.0
2023-07-18 00:20:00,101.0,57.0,96.0,91.0
2023-07-18 00:25:00,132.0,42.0,100.0,94.0
2023-07-18 00:30:00,90.0,51.0,115.0,92.0
2023-07-18 00:35:00,95.0,67.0,110.0,80.0
2023-07-18 00:40:00,101.0,55.0,86.0,95.0
2023-07-18 00:45:00,79.0,46.0,92.0,91.0
2023-07-18 00:50:00,75.0,43.0,94.0,97.0
2023-07-18 00:55:00,77.0,49.0,107.0,68.0
2023-07-18 01:00:00,71.0,55.0,104.0,87.0
2023-07-18 01:05:00,77.0,40.0,91.0,105.0
2023-07-18 01:10:00,82.0,54.0,64.0,78.0
2023-07-18 01:15:00,92.0,43.0,81.0,89.0
2023-07-18 01:20:00,81.0,38.0,80.0,59.0
2023-07-18 01:25:00,71.0,38.0,74.0,87.0
2023-07-18 01:30:00,61.0,54.0,62.0,68.0
2023-07-18 01:35:00,74.0,40.0,75.0,68.0
2023-07-18 01:40:00,64.0,37.0,69.0,83.0
2023-07-18 01:45:00,60.0,31.0,48.0,77.0
2023-07-18 01:50:00,70.0,35.0,70.0,79.0
2023-07-18 01:55:00,76.0,39.0,57.0,53.0
2023-07-18 02:00:00,45.0,29.0,65.0,49.0
2023-07-18 02:05:00,54.0,27.0,47.0,67.0
2023-07-18 02:10:00,56.0,21.0,43.0,64.0
2023-07-18 02:15:00,51.0,23.0,65.0,75.0
2023-07-18 02:20:00,59.0,17.0,56.0,84.0
2023-07-18 02:25:00,58.0,35.0,47.0,67.0
2023-07-18 02:30:00,59.0,31.0,49.0,63.0
2023-07-18 02:35:00,54.0,29.0,65.0,65.0
2023-07-18 02:40:00,43.0,31.0,45.0,62.0
2023-07-18 02:45:00,60.0,38.0,60.0,68.0
2023-07-18 02:50:00,42.0,34.0,72.0,47.0
2023-07-18 02:55:00,50.0,31.0,56.0,59.0
2023-07-18 03:00:00,61.0,31.0,58.0,38.0
2023-07-18 03:05:00,39.0,21.0,52.0,47.0
2023-07-18 03:10:00,58.0,22.0,50.0,43.0
2023-07-18 03:15:00,54.0,26.0,50.0,46.0
2023-07-18 03:20:00,39.0,25.0,61.0,36.0
2023-07-18 03:25:00,45.0,26.0,54.0,55.0
2023-07-18 03:30:00,38.0,22.0,71.0,48.0
2023-07-18 03:35:00,30.0,25.0,71.0,40.0
2023-07-18 03:40:00,56.0,33.0,82.0,47.0
2023-07-18 03:45:00,45.0,23.0,57.0,44.0
2023-07-18 03:50:00,39.0,26.0,61.0,43.0
2023-07-18 03:55:00,54.0,32.0,74.0,46.0
2023-07-18 04:00:00,52.0,37.0,72.0,38.0
2023-07-18 04:05:00,50.0,25.0,79.0,52.0
2023-07-18 04:10:00,35.0,33.0,77.0,49.0
2023-07-18 04:15:00,56.0,30.0,85.0,46.0
2023-07-18 04:20:00,50.0,38.0,109.0,48.0
2023-07-18 04:25:00,50.0,32.0,125.0,66.0
2023-07-18 04:30:00,38.0,38.0,123.0,39.0
2023-07-18 04:35:00,41.0,30.0,128.0,70.0
2023-07-18 04:40:00,67.0,38.0,138.0,44.0
2023-07-18 04:45:00,61.0,43.0,148.0,53.0
2023-07-18 04:50:00,70.0,57.0,158.0,62.0
2023-07-18 04:55:00,65.0,51.0,158.0,48.0
2023-07-18 05:00:00,62.0,55.0,172.0,60.0
2023-07-18 05:05:00,63.0,57.0,176.0,46.0
2023-07-18 05:10:00,91.0,55.0,209.0,64.0
2023-07-18 05:15:00,67.0,56.0,190.0,46.0
2023-07-18 05:20:00,67.0,59.0,237.0,50.0
2023-07-18 05:25:00,120.0,62.0,216.0,69.0
2023-07-18 05:30:00,83.0,76.0,153.0,64.0
2023-07-18 05:35:00,79.0,92.0,154.0,76.0
2023-07-18 05:40:00,112.0,89.0,200.0,84.0
2023-07-18 05:45:00,95.0,108.0,147.0,100.0
2023-07-18 05:50:00,111.0,75.0,194.0,76.0
2023-07-18 05:55:00,116.0,106.0,174.0,87.0
2023-07-18 06:00:00,114.0,103.0,183.0,93.0
2023-07-18 06:05:00,104.0,109.0,189.0,97.0
2023-07-18 06:10:00,105.0,132.0,185.0,79.0
2023-07-18 06:15:00,126.0,120.0,158.0,96.0
2023-07-18 06:20:00,164.0,123.0,196.0,93.0
2023-07-18 06:25:00,117.0,125.0,222.0,87.0
2023-07-18 06:30:00,123.0,132.0,114.0,95.0
2023-07-18 06:35:00,147.0,121.0,124.0,79.0
2023-07-18 06:40:00,148.0,138.0,139.0,101.0
2023-07-18 06:45:00,176.0,165.0,155.0,54.0
2023-07-18 06:50:00,162.0,182.0,96.0,119.0
2023-07-18 06:55:00,177.0,169.0,116.0,97.0
2023-07-18 07:00:00,231.0,174.0,88.0,103.0
2023-07-18 07:05:00,218.0,158.0,60.0,136.0
2023-07-18 07:10:00,177.0,169.0,119.0,82.0
2023-07-18 07:15:00,223.0,103.0,138.0,100.0
2023-07-18 07:20:00,219.0,72.0,125.0,104.0
2023-07-18 07:25:00,239.0,128.0,130.0,52.0
2023-07-18 07:30:00,245.0,84.0,110.0,60.0
2023-07-18 07:35:00,222.0,123.0,39.0,142.0
2023-07-18 07:40:00,225.0,160.0,2.0,167.0
